Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
18-01-23,Sydney,19.5,30.2,0.2,10.4,8,NE,44,NNE,NE,11,24,73,58,1012.7,1007.1,1,4,23.4,28.9,No,No
19-01-23,Sydney,18.7,20.3,20,10.6,0,SSE,56,SSE,S,35,30,94,71,1009.9,1011.5,8,8,18.7,19.5,No,No
20-01-23,Sydney,16.7,22,6.4,4,0,SSE,39,SSE,S,19,17,91,78,1016.6,1016.5,8,8,18,19.5,No,No
21-01-23,Sydney,16.5,25.5,2.8,3.8,7.2,ESE,33,WNW,ESE,9,24,85,58,1017.7,1015.5,1,5,19.3,25.1,No,No
22-01-23,Sydney,18.9,21.7,0.6,5.2,0,NE,41,WNW,SSE,11,4,94,87,1016.1,1015.3,8,8,18.9,20.2,No,No
23-01-23,Sydney,16.8,27,9.6,0.6,8.6,SSE,33,W,SSE,13,20,89,55,1013.5,1011.9,7,4,19.8,25.8,No,No
24-01-23,Sydney,18.2,27.9,0.2,7.4,12.2,E,33,W,E,9,24,81,68,1012.5,1009.9,3,2,21.2,26.7,No,No
25-01-23,Sydney,18.1,28.4,3.2,5.8,11.1,E,28,WNW,E,11,19,90,67,1013.2,1011.7,1,1,21.2,28.2,No,No
26-01-23,Sydney,20.8,29.5,0,6.2,8.6,S,39,SSE,E,2,20,91,75,1012.9,1010.1,0,4,22.7,26.9,No,No
27-01-23,Sydney,21.2,28.3,0,9.6,6,SSW,43,S,S,20,17,86,71,1015.4,1014.3,7,3,22.9,26.9,No,No
28-01-23,Sydney,21.7,29.5,1.4,5.4,9.9,NNE,50,W,ENE,7,26,92,75,1014.3,1011,5,1,24.5,28.9,No,No
29-01-23,Sydney,23.9,29.7,0.2,8,2.6,NE,35,NNE,E,11,6,91,79,1012.8,1012.4,8,7,25,28.4,No,No
30-01-23,Sydney,21.9,30,1.6,5.4,2.1,SSW,50,NNE,E,6,20,94,68,1010.8,1006.7,8,7,22.6,28.1,No,No
31-01-23,Sydney,20.4,27.6,63,6.2,6.3,SW,56,SSW,SSW,19,17,76,63,1005.3,1002.6,5,5,23,26.6,No,No
01-02-23,Sydney,20,28.7,0,6.4,11.6,WSW,35,WSW,ESE,9,22,71,55,1003.8,1001.8,3,3,22.2,27,No,No
02-02-23,Sydney,21.6,29.1,0,6,11.4,NE,52,N,NE,11,26,77,68,1000.5,994.3,1,2,23.4,28.9,No,No
03-02-23,Sydney,22.1,30.6,0,10.6,11.6,SE,37,W,ESE,17,31,45,43,995.6,994.5,1,1,22.8,28.1,No,No
04-02-23,Sydney,17.5,28.9,0,10.8,12.7,WSW,44,WNW,WNW,20,22,45,22,1005.6,1004.6,1,1,18.8,27.7,No,No
05-02-23,Sydney,17.7,28,0,11.2,12.7,E,33,W,E,15,20,50,43,1015.1,1014.4,1,0,20.5,27.4,No,No
06-02-23,Sydney,20.5,28.4,0,8.6,10.1,ENE,43,ENE,E,2,30,82,65,1018.1,1015.6,4,1,22.8,28,No,No
07-02-23,Sydney,21.8,28.7,0,7.2,4.3,E,28,NNE,E,11,20,78,59,1016.2,1014.5,7,5,24.4,28.4,No,No
08-02-23,Sydney,21.1,28.2,0,6.2,2.8,E,41,WNW,ESE,7,24,77,74,1015.6,1014.3,7,6,23.8,25.8,No,No
09-02-23,Sydney,19.4,23.4,27.8,6.2,1.5,ESE,56,ENE,E,19,30,94,95,1013.3,1010.5,8,8,22,20.8,No,No
10-02-23,Sydney,17.8,28,19.4,6.2,12,ENE,31,WNW,E,13,20,97,72,1009,1005.7,1,2,20,27.3,No,No
11-02-23,Sydney,19.3,30.4,0,8,11,NE,50,W,NE,11,26,88,65,1006.5,1002.2,7,1,22.2,29.9,No,No
12-02-23,Sydney,21.5,27.3,0,10.8,11.2,S,63,WSW,SSE,17,37,53,64,1003.7,1004.9,5,1,24.6,26.8,No,No
13-02-23,Sydney,19.1,25.5,0.4,7.2,4.7,SSE,39,SSE,S,28,22,75,60,1011,1010.1,7,7,21.4,24.9,No,No
14-02-23,Sydney,18.3,21.2,3.4,7.2,1.2,SSW,44,SSW,SW,20,11,84,99,1011.8,1012.8,7,7,20.2,18.6,No,No
15-02-23,Sydney,18.1,26.9,45.8,1.8,9,NE,35,W,E,13,22,93,59,1017,1015.4,6,1,20.3,26.1,No,No
16-02-23,Sydney,18.2,28.3,0,7.8,12.3,NE,43,NNE,ENE,11,26,77,57,1018,1014.8,1,2,21,27.5,No,No
17-02-23,Sydney,19.6,28.3,0,8,12.1,ENE,43,N,ENE,7,24,83,65,1016.9,1014.3,1,1,22.1,27.6,No,No
18-02-23,Sydney,20.7,30,0,8.4,9.2,SW,70,ESE,ENE,6,17,85,65,1014.3,1010.4,1,4,22.7,29.3,No,No
19-02-23,Sydney,20.9,28.7,5,13.4,9,S,39,SSW,ESE,19,11,77,74,1018.9,1018.7,7,4,23.4,25.7,No,No
20-02-23,Sydney,21.6,29.4,0,6,10,ENE,39,N,ENE,9,24,87,66,1020.1,1017.8,7,1,24,28.7,No,No
21-02-23,Sydney,21.1,28.4,0,10.8,10,SSE,54,ESE,E,7,20,89,66,1021.5,1020.3,1,1,23.1,27.9,No,No
22-02-23,Sydney,18.9,21.6,0,5,0,SSE,65,SSE,SSE,28,17,72,91,1025.6,1025.9,8,8,21,18.6,No,No
23-02-23,Sydney,18.5,24.4,0,5,1.8,ESE,50,E,E,24,28,87,65,1023.9,1023.4,8,7,19,22.8,No,No
24-02-23,Sydney,16.9,26.8,0,3.6,8.7,ENE,37,WNW,E,9,24,85,53,1022,1019.6,4,3,19.9,26.6,No,No
25-02-23,Sydney,17.7,26.9,0.2,5.4,11.8,NE,41,WNW,NE,13,20,92,56,1018.5,1015.5,1,2,18.9,26.1,No,No
26-02-23,Sydney,18.7,29.4,0,10,9.8,WSW,56,NNW,ENE,4,13,83,61,1013.1,1009.5,6,1,20.5,28.3,No,No
27-02-23,Sydney,20.5,26.2,1.2,8.2,2.7,SSW,37,SSW,SE,15,15,82,72,1012.4,1011.3,7,7,23.2,25.6,No,No
28-02-23,Sydney,20.8,27.7,2.4,6.2,4.8,E,33,WNW,E,9,24,86,64,1013,1009.1,5,5,22.1,27.5,No,No
01-03-23,Sydney,21.5,28.1,0,4.8,9.8,SSW,65,W,SSW,15,35,89,60,1006.2,1007.2,7,5,22.7,26.9,No,No
02-03-23,Sydney,19.4,27.1,0,10,9.3,E,28,NNW,E,6,15,94,67,1013.6,1011.7,6,3,20.3,26,No,No
03-03-23,Sydney,19.3,25.2,2.2,3.2,1.3,SSW,37,SSE,S,4,24,94,90,1016.2,1016.1,7,8,21,22.5,No,No
04-03-23,Sydney,19.5,28.1,20,2.4,6.7,E,26,W,E,11,13,99,62,1017.5,1015.6,5,7,20.7,25.6,No,No
05-03-23,Sydney,18.3,28.1,0,6.4,11.1,NE,50,WNW,ENE,9,24,91,62,1013.6,1008.8,1,1,19.8,27.8,No,No
06-03-23,Sydney,19.7,37.9,0,8,11,NNW,57,ENE,NNW,4,28,72,28,1004.5,1000.3,1,3,23.8,36.8,No,No
07-03-23,Sydney,22.3,34,0,12,9.3,ENE,33,WNW,E,11,22,70,52,1006.6,1003.7,7,1,24.2,28.4,No,No
08-03-23,Sydney,18.8,30,0,10.2,10.3,E,31,W,E,11,24,58,41,1006.3,1002.8,1,1,20.1,27.2,No,No
09-03-23,Sydney,16.7,28.4,0,7,11.5,SE,33,W,ESE,15,22,61,45,1010.7,1009,1,1,18.7,26.8,No,No
10-03-23,Sydney,16.6,27.4,0,8.4,9.2,NE,46,WNW,ENE,15,24,83,59,1017,1014.6,1,5,18.7,26.8,No,No
11-03-23,Sydney,18.7,28.6,0,6.4,10.6,NE,41,W,ENE,13,17,88,66,1014,1009.8,1,1,20.4,28,No,No
12-03-23,Sydney,20.4,27,0,7,6,SSW,50,SSW,SSE,22,26,81,70,1010.5,1010.4,6,6,23.1,25.6,No,No
13-03-23,Sydney,21.4,24.9,0,8.6,3.8,ESE,43,ESE,ESE,28,19,71,66,1016.3,1016.7,6,7,22.4,23.2,No,No
14-03-23,Sydney,20.4,23.8,0.6,2.8,0.7,ESE,33,E,NE,13,7,91,89,1017.8,1016.2,7,7,21.7,21.6,No,No
15-03-23,Sydney,18.4,28.5,9.8,1.8,9.8,ENE,24,WNW,E,13,19,100,70,1014,1010.4,6,2,19.9,26.5,No,No
16-03-23,Sydney,18.9,36.2,0,5,10.5,W,37,WNW,W,11,11,99,32,1010.8,1005.9,3,1,20.1,35.5,No,No
17-03-23,Sydney,20,31.6,0,10,9.1,SSE,41,W,ESE,13,28,48,61,1013.6,1014.9,0,1,24.1,28.2,No,No
18-03-23,Sydney,20.7,29.1,0,6.8,10.5,NNE,41,NNE,ENE,4,24,92,65,1019.7,1016.7,5,1,22.7,28.6,No,No
19-03-23,Sydney,20.7,28.9,0,6.8,9.8,SSW,28,W,ESE,13,19,100,70,1018,1015.6,3,1,21.6,28.4,No,No
20-03-23,Sydney,21.6,23.6,0,7.4,0,SSE,56,SSE,SSE,28,31,82,71,1023.1,1025.7,7,8,23.5,22.5,No,No
21-03-23,Sydney,18.1,22.9,0.6,4.4,0,ESE,35,ESE,ESE,20,15,68,60,1029.3,1027.1,7,7,20.2,22.4,No,No
22-03-23,Sydney,18.7,24.2,0.2,4,1,N,30,W,NE,11,13,83,72,1023.1,1020.2,7,7,20.2,23.4,No,No
23-03-23,Sydney,19.4,27.3,1.2,4.4,3.2,SSE,37,W,S,13,13,92,71,1017.7,1016.1,7,7,20.9,25.4,No,No
24-03-23,Sydney,17.5,25.5,4.6,0.8,7.4,SSE,33,W,SE,19,17,93,73,1016.9,1016.4,3,5,18.9,24.9,No,No
25-03-23,Sydney,18.9,24.6,0,6.2,1.2,E,37,ESE,ESE,20,19,72,64,1018.5,1017.3,7,7,22.2,23.5,No,No
26-03-23,Sydney,19.1,26.1,1.8,2.8,2.1,N,31,WNW,ENE,7,20,89,69,1018,1015.4,7,7,20.1,24.8,No,No
27-03-23,Sydney,19.4,24.6,8.2,4.4,0.4,W,28,N,W,13,19,98,86,1013.3,1010.4,8,7,19.6,23.4,No,No
28-03-23,Sydney,19.5,24.8,0.6,2.8,0.4,W,24,W,WNW,11,11,90,81,1013.8,1013.3,7,8,21.4,23.2,No,No
29-03-23,Sydney,19.6,27.1,4.2,1.4,4.7,W,54,NNW,NNW,31,26,88,69,1007.1,1000.6,8,6,20.7,24.3,No,No
30-03-23,Sydney,15.6,25.7,0,5.8,10.3,W,41,W,SW,24,24,69,34,1006.5,1005.8,1,7,17.2,24.1,No,No
31-03-23,Sydney,14.3,25.7,0,5.8,10,W,39,W,ESE,20,15,63,38,1011.6,1009.4,1,1,15.5,25,No,No
01-04-23,Sydney,14.8,20.3,0,6,1.4,SSW,44,W,SSW,17,19,72,93,1014.2,1014.7,2,8,16.1,16.7,No,No
02-04-23,Sydney,15.4,20.3,89.4,3.2,0.4,E,46,W,E,20,22,100,98,1019.1,1018.9,7,8,16,16.6,No,No
03-04-23,Sydney,15.2,23.8,26,2.6,8.2,E,35,WNW,ESE,9,26,100,74,1021.6,1019.4,7,5,17.8,22.7,No,No
04-04-23,Sydney,15.2,26.3,0.8,3.8,9,ESE,30,WNW,SE,13,19,92,64,1021,1016.9,5,3,18.2,25.5,No,No
05-04-23,Sydney,15,25.4,0,7.8,8.1,SSE,30,WNW,SSE,17,15,83,60,1016.7,1014.3,5,3,19.6,24.7,No,No
06-04-23,Sydney,16,23,3.6,4,2.2,W,22,WNW,ENE,11,6,95,69,1015.5,1012.3,7,7,18.5,22.9,No,No
07-04-23,Sydney,15.6,24.8,0.2,2.2,5.2,WSW,44,W,ENE,17,17,87,65,1007.4,999.5,7,4,18.7,24.8,No,No
08-04-23,Sydney,15.6,24.6,3.2,4.4,9.9,W,61,W,W,31,39,63,42,999.2,999.6,2,3,19.2,23.6,No,No
09-04-23,Sydney,14.9,21.8,0,7,10.8,W,61,WSW,W,30,39,47,34,1005.1,1004.9,1,1,16.9,20.7,No,No
10-04-23,Sydney,10.7,22.1,0,7.2,9.8,W,41,W,SE,26,15,55,34,1009.4,1007.2,1,4,14.2,21,No,No
11-04-23,Sydney,11.2,22.4,0,3.6,8.5,S,46,W,S,28,26,55,53,1012,1009.8,1,6,15,21.2,No,No
12-04-23,Sydney,12.9,22,0,3.6,5.7,W,26,WNW,NW,11,13,75,50,1009.4,1005.4,5,7,17.5,20.6,No,No
13-04-23,Sydney,13.8,22.8,0.4,4.2,6.6,SSW,43,W,S,17,24,87,67,1009.4,1009.5,7,5,16.7,22.4,No,No
14-04-23,Sydney,14.8,22.2,13,6.2,5.6,SE,41,WNW,SSE,19,19,98,67,1014.4,1011.7,5,5,16.7,20.4,No,No
15-04-23,Sydney,13.4,25.6,2,2.4,9.6,NNE,35,W,NE,9,20,91,65,1010.5,1005.6,1,5,16.2,24.1,No,No
16-04-23,Sydney,16.2,25.1,0,5.8,4.4,W,54,NNE,W,15,28,65,36,1003.3,1005.2,7,1,20.5,25,No,No
17-04-23,Sydney,12.9,22.7,0,5.8,10.4,W,37,WNW,SE,17,19,67,63,1022,1022.1,1,3,17,21.6,No,No
18-04-23,Sydney,13,23.7,0,4,8.4,E,22,WNW,E,11,13,84,56,1025.8,1022.1,2,2,17.3,23.2,No,No
19-04-23,Sydney,13.9,25.5,0,3.4,9.4,SSW,28,WNW,ENE,15,17,84,59,1020.1,1016.2,4,2,17.3,23.6,No,No
20-04-23,Sydney,17.3,19.8,1.6,5.8,0,SSW,28,SSE,SSW,28,13,79,92,1023.6,1023,8,8,18.6,17.8,No,No
21-04-23,Sydney,13.8,21.6,4.6,0.4,6.4,SSW,33,SW,SSW,15,6,82,78,1028.5,1027.4,3,3,17.1,18.8,No,No
22-04-23,Sydney,13.5,20,0.4,4,0.9,S,33,W,SE,22,7,82,93,1030.9,1029,6,7,15.8,18.6,No,No
23-04-23,Sydney,14.8,23.7,4.4,0.8,4,ESE,41,W,SSE,17,15,100,65,1031.9,1031.6,7,7,16.8,22.3,No,No
24-04-23,Sydney,16.8,23.1,1.2,3.2,6.4,ESE,33,ESE,ESE,19,17,69,68,1033.8,1031.2,4,7,20.5,23,No,No
25-04-23,Sydney,15.6,23.7,0.8,3.2,8,ENE,26,NE,ENE,2,15,99,60,1030.3,1026.2,1,1,18.2,23.4,No,No
26-04-23,Sydney,14.8,21.7,0.2,5.2,5.1,ENE,35,WNW,E,11,11,92,73,1029.1,1026.2,6,7,17,21.1,No,No
27-04-23,Sydney,14.9,25.2,0,3.2,9.7,ENE,37,N,NE,15,20,74,62,1025.8,1021.3,3,1,20.1,23.9,No,No
28-04-23,Sydney,14.7,27.5,0,4.2,9.9,NNE,31,WNW,NE,6,19,92,62,1018.4,1012.7,1,1,17.2,25.6,No,No
29-04-23,Sydney,17.2,18.6,0,6.6,0,WNW,41,WNW,W,11,11,86,93,1011.3,1009.5,8,8,18.6,18.3,No,No
30-04-23,Sydney,14.1,18.6,27,0.6,0,WNW,41,WNW,W,20,19,88,63,1010.4,1009.6,7,4,16.2,19.8,No,No
